Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita), Population ,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1990,354.1901802," 12,267,754 ",0.410408539,73.58234924,2064.231664,155.9372645,36.65949249,32.14465409
India,IND,South Asia,Lower middle income,1990,351.340769," 870,133,480 ",0.7115628,58.65285835,1134.222287,273.0466135,43.29156113,21.50518467
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1990,340.8487597," 34,614,581 ",0.117591197,92.04773164,896.3545346,130.8697049,0.01,70.73641958
Benin,BEN,Sub-Saharan Africa,Low income,1990,333.6981691," 4,978,496 ",0.142157591,93.70324086,945.3767455,34.95031431,7.311272144,51.09081235
Togo,TGO,Sub-Saharan Africa,Low income,1990,333.578034," 3,786,940 ",0.204317206,78.70141705,836.4515973,90.57444797,0.01,12.59422688
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1990,322.599005," 2,440,457 ",0.486838326,65.41378681,3322.420799,168.0013211,0.01,66.54758419
Sri Lanka,LKA,South Asia,Lower middle income,1990,318.3077527," 17,329,713 ",0.223239992,78.0872449,2334.77379,151.416241,52.93764114,36.42162335
Nepal,NPL,South Asia,Low income,1990,308.7654084," 18,749,406 ",0.033835259,95.11971454,774.2732467,35.46779029,0.01,33.68531469
Morocco,MAR,Middle East & North Africa,Lower middle income,1990,306.2193558," 24,879,136 ",0.946260352,19.48255574,2528.458556,358.1314078,48.11626434,11.10015685
Dominica,DMA,Latin America & Caribbean,Upper middle income,1990,298.5025802," 70,926 ",0.827228379,14.60310056,4272.688532,,66.03043366,66.66666667
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1990,273.7910051," 107,505 ",0.750420911,15.43977328,3604.049279,,66.05391693,64.1025641
Tonga,TON,East Asia & Pacific,Upper middle income,1990,266.3664204," 95,153 ",0.809296607,1.486607998,2310.120473,,77.79976654,12.5
Samoa,WSM,East Asia & Pacific,Upper middle income,1990,265.4724743," 162,866 ",0.63043238,46.20460855,2358.562479,,77.84141541,45.93639576
Myanmar,MMR,East Asia & Pacific,Lower middle income,1990,262.8697209," 40,626,250 ",0.105245303,90.90734721,480.2066369,44.87246546,35.65203095,60.00856872
Vietnam,VNM,East Asia & Pacific,Lower middle income,1990,261.928551," 68,209,605 ",0.313855299,76.08164466,939.0427192,94.94264041,74.1146698,28.7658607
Maldives,MDV,South Asia,Upper middle income,1990,228.0175615," 223,215 ",0.772121049,4.458738895,,,73.0881424,3.333333333
Senegal,SEN,Sub-Saharan Africa,Low income,1990,223.1976555," 7,555,617 ",0.421270162,55.55101113,1495.829918,103.2344546,25.13053513,48.55347219
Djibouti,DJI,Middle East & North Africa,Lower middle income,1990,220.2863966," 590,398 ",0.546573667,26.59282984,,,59.60907745,0.241587571
Haiti,HTI,Latin America & Caribbean,Low income,1990,219.7930851," 7,099,732 ",0.139971058,81.1195732,1354.239749,58.31206023,28.00139809,4.208998549
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,1990,208.4627909," 12,057,039 ",0.795928337,2.148637786,2150.416404,122.0034206,36.00909805,1.039831809
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1990,205.9444742," 113,893 ",0.418559525,50.92907396,,,42.75796509,58.33333333
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1990,170.9594664," 311,840 ",0.47036942,59.01436959,1217.161305,,0.01,83.02965345
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1990,158.9948034," 146,634 ",0.450141168,24.15796687,1647.689036,,7.006693363,36.09515997
Bangladesh,BGD,South Asia,Lower middle income,1990,119.9545805," 106,188,642 ",0.146281294,71.6649713,832.4340817,48.3667547,8.544374466,11.47729892
Bhutan,BTN,South Asia,Lower middle income,1990,104.1820801," 537,280 ",0.238879169,95.89885217,1502.880658,,0.01,53.65045193
Kiribati,KIR,East Asia & Pacific,Lower middle income,1990,98.22481081," 72,412 ",0.303844667,5.220941832,1256.210651,,31.55973244,14.99999953
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1990,84.95924629," 341,883 ",0.278873182,36.63404152,1070.914065,,32.55810165,14.33002481
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1990,73.72922116," 1,012,280 ",0.170258229,88.57960543,1017.245405,,0.01,78.80512091
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1990,67.39851856," 916,808 ",0.191987854,61.44186978,973.6391224,,16.23235321,43.67588933
Comoros,COM,Sub-Saharan Africa,Low income,1990,43.36015552," 411,594 ",0.151457504,49.83857352,1667.862771,,15.2995491,26.32992928
Malawi,MWI,Sub-Saharan Africa,Low income,1990,," 9,437,553 ",0.079265038,84.03097805,480.9991622,,1.120719671,41.32371659
Uganda,UGA,Sub-Saharan Africa,Low income,1990,," 17,438,907 ",0.043527327,96.01851287,497.3225639,,1.266457081,23.77758871
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1990,," 8,811,034 ",0.066173051,93.15806029,545.7262408,,2.610557318,25.0255848
Rwanda,RWA,Sub-Saharan Africa,Low income,1990,," 7,235,798 ",0.075004305,80.08755822,565.1453625,,0.01,12.89014998
Niger,NER,Sub-Saharan Africa,Low income,1990,," 8,012,861 ",0.091527858,,578.1725818,,2.290002346,1.535485908
Central African Republic,CAF,Sub-Saharan Africa,Low income,1990,," 2,939,780 ",0.067358102,93.49428096,597.8928698,,0.01,36.21304055
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1990,," 426,846 ",0.154636567,84.71085961,646.0128053,,58.59144211,66.31016043
Burundi,BDI,Sub-Saharan Africa,Low income,1990,," 5,415,415 ",0.038597042,95.20067222,666.9271372,,0.348627061,11.25389408
Chad,TCD,Sub-Saharan Africa,Low income,1990,," 5,956,859 ",0.024008122,98.1635271,717.7127561,,0.01,5.324809403
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1990,," 4,312,246 ",0.113099067,91.28215225,808.2880675,,7.0815382,43.19756165
Mali,MLI,Sub-Saharan Africa,Low income,1990,," 8,465,188 ",0.049816377,88.63756683,822.002533,,0.01,5.482752686
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1990,," 1,603,938 ",0.919071685,52.02797925,891.529024,,0.01,1.317523057
Guinea,GIN,Sub-Saharan Africa,Low income,1990,," 6,041,094 ",0.166320537,89.29714418,912.5892467,,6.429067135,29.56210321
Madagascar,MDG,Sub-Saharan Africa,Low income,1990,," 11,598,633 ",0.081884908,85.64727683,1068.491219,,9.571782112,23.54438216
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1990,," 4,258,472 ",0.049944205,88.44509701,1103.958956,,15.30261421,76.45104155
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1990,," 9,003 ",0.81461735,0,1521.284266,,90.70191956,33.33333333
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1990,," 4,313,059 ",0.496521842,71.70041076,1534.084289,,5.114663601,74.25473656
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1990,," 96,331 ",,,1758.708959,,28.03698158,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1990,," 2,030,140 ",0.446151004,46.99974359,1814.084811,,3.886186838,0.402638983
